entities,author_id,id,created_at,public_metrics,text,edit_history_tweet_ids,username,name
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}], 'annotations': [{'start': 45, 'end': 48, 'probability': 0.3695, 'type': 'Organization', 'normalized_text': 'care'}, {'start': 125, 'end': 131, 'probability': 0.569, 'type': 'Organization', 'normalized_text': 'tigresa'}, {'start': 138, 'end': 146, 'probability': 0.6486, 'type': 'Person', 'normalized_text': 'jopo jopo'}]}",1256338864001728512,1971082930060656882,2025-09-25 05:22:46+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 2}","@JDOviedoAr Ya se me había olvidado que este care chimba existía, como le a ido en su campaña, de casualidad se unirá con la tigresa y el jopo jopo",['1971082930060656882'],FerMurcia3,Fer.Murcia
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}], 'annotations': [{'start': 35, 'end': 40, 'probability': 0.7858, 'type': 'Person', 'normalized_text': 'Nariño'}]}",283350073,1971077951547687276,2025-09-25 05:02:59+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",@JDOviedoAr Te imaginas la casa de Nariño llena de caca,['1971077951547687276'],kevinLozada20,Kevin Lozada
"{'mentions': [{'start': 34, 'end': 45, 'username': 'JDOviedoAr', 'id': '219434063'}], 'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/GxfU4rB7lW', 'expanded_url': 'https://x.com/garycorrea/status/1971074756184244677/video/1', 'display_url': 'pic.x.com/GxfU4rB7lW', 'media_key': '7_1971074570976161793'}, {'start': 54, 'end': 77, 'url': 'https://t.co/GxfU4rB7lW', 'expanded_url': 'https://x.com/garycorrea/status/1971074756184244677/video/1', 'display_url': 'pic.x.com/GxfU4rB7lW', 'media_key': '7_1971074691499462656'}, {'start': 54, 'end': 77, 'url': 'https://t.co/GxfU4rB7lW', 'expanded_url': 'https://x.com/garycorrea/status/1971074756184244677/video/1', 'display_url': 'pic.x.com/GxfU4rB7lW', 'media_key': '3_1971021129042071552'}, {'start': 54, 'end': 77, 'url': 'https://t.co/GxfU4rB7lW', 'expanded_url': 'https://x.com/garycorrea/status/1971074756184244677/video/1', 'display_url': 'pic.x.com/GxfU4rB7lW', 'media_key': '3_1971021121395806209'}], 'annotations': [{'start': 17, 'end': 22, 'probability': 0.4731, 'type': 'Place', 'normalized_text': 'Bogota'}, {'start': 24, 'end': 31, 'probability': 0.9735, 'type': 'Place', 'normalized_text': 'Colombia'}]}",71021430,1971074756184244677,2025-09-25 04:50:17+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 88}","Inaguración sede Bogota Colombia 
@JDOviedoAr 
🇨🇴🇨🇴🇨🇴 https://t.co/GxfU4rB7lW",['1971074756184244677'],garycorrea,Gary Enrique Correa Holguín 🇨🇴 🇮🇱 🇺🇸
"{'mentions': [{'start': 0, 'end': 13, 'username': 'CaracolRadio', 'id': '19236074'}, {'start': 39, 'end': 50, 'username': 'JDOviedoAr', 'id': '219434063'}]}",849855508580380673,1971065310943015315,2025-09-25 04:12:45+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 9}",@CaracolRadio Pero será que el ilustre @JDOviedoAr devuelve los salarios que devengo como concejal? Sabiéndose inhabilitado,['1971065310943015315'],Oscarroncancio4,Oscar roncancio
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}]}",1584131072,1971063318694822263,2025-09-25 04:04:50+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 3}",@JDOviedoAr De verdad es vergonzoso tener tantos candidatos a la presidencia. Muchos egos y poca proyección del desarrollo del país y la calidad de vida de la gente.,['1971063318694822263'],MARTHAARIZA8,MP AG
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}]}",215681072,1971053135138640117,2025-09-25 03:24:22+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 3}","@JDOviedoAr Ud es un buen elemento, no se detenga .",['1971053135138640117'],oscarpradillav,Oscar Pradilla
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}]}",1503179202094321673,1971052996655292715,2025-09-25 03:23:49+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1}",@JDOviedoAr Cuando va a devolver los sueldos que nos robó? Usted sabía que no estaba siendo honesto,['1971052996655292715'],faltidio,juan carlos huertas castro
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}]}",1221598564545187845,1971047295077761404,2025-09-25 03:01:10+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 15}",@JDOviedoAr Voté por usted pero no veo gestión alguna más que usar el cargo de trampolín para otros cargos,['1971047295077761404'],johnpd2,Dan Dreiberg
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}], 'annotations': [{'start': 156, 'end': 169, 'probability': 0.5105, 'type': 'Other', 'normalized_text': 'PoliticaBacana'}], 'hashtags': [{'start': 155, 'end': 170, 'tag': 'PoliticaBacana'}]}",168876521,1971045851448668327,2025-09-25 02:55:25+00:00,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1237}","@JDOviedoAr Esta haciendo una campaña honesta, de frente a la comunidad y juiciosa. Estuve en un conversatorio con usted y fue genuino,  asertivo y claro. #PoliticaBacana",['1971045851448668327'],prospectador,Prospectador
"{'mentions': [{'start': 0, 'end': 15, 'username': 'alegriafonseca', 'id': '342879842'}, {'start': 16, 'end': 29, 'username': 'wilcheschaux', 'id': '248001840'}, {'start': 30, 'end': 44, 'username': 'delmarpizarro', 'id': '177168055'}, {'start': 45, 'end': 56, 'username': 'JDOviedoAr', 'id': '219434063'}], 'urls': [{'start': 57, 'end': 80, 'url': 'https://t.co/FPMDESgx5D', 'expanded_url': 'https://twitter.com/error314diseno/status/1971027716385501448', 'display_url': 'x.com/error314diseno…'}]}",607810164,1971043063167631523,2025-09-25 02:44:21+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 10}",@alegriafonseca @wilcheschaux @delmarpizarro @JDOviedoAr https://t.co/FPMDESgx5D,['1971043063167631523'],error314diseno,universidad de la basura
"{'mentions': [{'start': 30, 'end': 40, 'username': 'agaviriau', 'id': '175806207'}, {'start': 41, 'end': 57, 'username': 'EnriquePenalosa', 'id': '108717093'}, {'start': 58, 'end': 69, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 70, 'end': 80, 'username': 'lunadavid', 'id': '44740326'}, {'start': 81, 'end': 94, 'username': 'MauricioCard', 'id': '142849205'}, {'start': 95, 'end': 108, 'username': 'JuanGZuluaga', 'id': '202812622'}, {'start': 109, 'end': 123, 'username': 'anibalgaviria', 'id': '37758638'}, {'start': 124, 'end': 140, 'username': 'juanmanuelgalan', 'id': '31162623'}, {'start': 141, 'end': 156, 'username': 'sergio_fajardo', 'id': '25185308'}]}",484267624,1971036839600603476,2025-09-25 02:19:37+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 16}","Sumando es el único camino. 

@agaviriau @EnriquePenalosa @JDOviedoAr @lunadavid @MauricioCard @JuanGZuluaga @anibalgaviria @juanmanuelgalan @sergio_fajardo 

De este grupo debe salir una ÚNICA opción. 
Reúnanse, Solo digan cuando. Yo les llevo el café.",['1971036839600603476'],rgomez29,Ricardo Gomez Torres
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}]}",123397082,1971033428960407899,2025-09-25 02:06:04+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1}","@JDOviedoAr Jajajajaj consejo de Estado, que cosa tan fiable",['1971033428960407899'],oslpa,El Cazador Etéreo
"{'mentions': [{'start': 0, 'end': 13, 'username': 'danieldazada', 'id': '1533966872613363712'}, {'start': 14, 'end': 29, 'username': 'ErnestoOrozcoD', 'id': '142466107'}, {'start': 30, 'end': 43, 'username': 'AlcaldiaVpar', 'id': '1219971182'}, {'start': 44, 'end': 56, 'username': 'ConcejoVpar', 'id': '698311604258148356'}, {'start': 57, 'end': 69, 'username': 'Tolaymaruja', 'id': '186227903'}, {'start': 70, 'end': 85, 'username': 'WRadioColombia', 'id': '20560294'}, {'start': 86, 'end': 98, 'username': 'TropiBogota', 'id': '211940425'}, {'start': 99, 'end': 112, 'username': 'VivesRicardo', 'id': '328030868'}, {'start': 113, 'end': 125, 'username': '_JesusDaza_', 'id': '1228360574490284037'}, {'start': 126, 'end': 140, 'username': 'DanielSamperO', 'id': '134855279'}, {'start': 141, 'end': 157, 'username': 'ElMonoMartinez_', 'id': '1639595640853233672'}, {'start': 158, 'end': 173, 'username': 'ValleduparCity', 'id': '4629168317'}, {'start': 174, 'end': 183, 'username': 'El_Pilon', 'id': '104613681'}, {'start': 184, 'end': 200, 'username': 'FredysSocarrasR', 'id': '316163419'}, {'start': 201, 'end': 212, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 213, 'end': 229, 'username': 'AntonioSanguino', 'id': '62528273'}, {'start': 230, 'end': 243, 'username': 'ValeraIbanez', 'id': '1295766311159713799'}], 'annotations': [{'start': 250, 'end': 263, 'probability': 0.6492, 'type': 'Person', 'normalized_text': 'Ernesto Orozco'}]}",1317268280428662785,1971021451311616274,2025-09-25 01:18:28+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 14}","@danieldazada @ErnestoOrozcoD @AlcaldiaVpar @ConcejoVpar @Tolaymaruja @WRadioColombia @TropiBogota @VivesRicardo @_JesusDaza_ @DanielSamperO @ElMonoMartinez_ @ValleduparCity @El_Pilon @FredysSocarrasR @JDOviedoAr @AntonioSanguino @ValeraIbanez Ojalá Ernesto Orozco, por fin pueda solucionar",['1971021451311616274'],Maaguilas1,Maaguilas
"{'mentions': [{'start': 0, 'end': 13, 'username': 'danieldazada', 'id': '1533966872613363712'}, {'start': 14, 'end': 29, 'username': 'ErnestoOrozcoD', 'id': '142466107'}, {'start': 30, 'end': 43, 'username': 'AlcaldiaVpar', 'id': '1219971182'}, {'start': 44, 'end': 56, 'username': 'ConcejoVpar', 'id': '698311604258148356'}, {'start': 57, 'end': 69, 'username': 'Tolaymaruja', 'id': '186227903'}, {'start': 70, 'end': 85, 'username': 'WRadioColombia', 'id': '20560294'}, {'start': 86, 'end': 98, 'username': 'TropiBogota', 'id': '211940425'}, {'start': 99, 'end': 112, 'username': 'VivesRicardo', 'id': '328030868'}, {'start': 113, 'end': 125, 'username': '_JesusDaza_', 'id': '1228360574490284037'}, {'start': 126, 'end': 140, 'username': 'DanielSamperO', 'id': '134855279'}, {'start': 141, 'end': 157, 'username': 'ElMonoMartinez_', 'id': '1639595640853233672'}, {'start': 158, 'end': 173, 'username': 'ValleduparCity', 'id': '4629168317'}, {'start': 174, 'end': 183, 'username': 'El_Pilon', 'id': '104613681'}, {'start': 184, 'end': 200, 'username': 'FredysSocarrasR', 'id': '316163419'}, {'start': 201, 'end': 212, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 213, 'end': 229, 'username': 'AntonioSanguino', 'id': '62528273'}, {'start': 230, 'end': 243, 'username': 'ValeraIbanez', 'id': '1295766311159713799'}]}",1317268280428662785,1971021351873019916,2025-09-25 01:18:04+00:00,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 17}","@danieldazada @ErnestoOrozcoD @AlcaldiaVpar @ConcejoVpar @Tolaymaruja @WRadioColombia @TropiBogota @VivesRicardo @_JesusDaza_ @DanielSamperO @ElMonoMartinez_ @ValleduparCity @El_Pilon @FredysSocarrasR @JDOviedoAr @AntonioSanguino @ValeraIbanez Parece que no hay respuesta a ninguna denuncia.
Lastima",['1971021351873019916'],Maaguilas1,Maaguilas
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 18, 'end': 29, 'username': 'JDOviedoAr', 'id': '219434063'}], 'annotations': [{'start': 43, 'end': 48, 'probability': 0.4467, 'type': 'Person', 'normalized_text': 'Maluma'}]}",2255260350,1971020466682044774,2025-09-25 01:14:33+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 14}","@JDOviedoAr Bravo @JDOviedoAr , y que viva Maluma!!!; que Hi....",['1971020466682044774'],RafaelBernal19,Rafael Bernal
"{'mentions': [{'start': 0, 'end': 15, 'username': 'DiegomontanezH', 'id': '1241844722240491528'}, {'start': 16, 'end': 31, 'username': 'BancoRepublica', 'id': '172368909'}, {'start': 32, 'end': 42, 'username': 'DineroCOP', 'id': '108045032'}, {'start': 43, 'end': 56, 'username': 'VictorGrosso', 'id': '72073632'}, {'start': 57, 'end': 73, 'username': 'RodrigoTorresRT', 'id': '115496046'}, {'start': 74, 'end': 90, 'username': 'MiguelOrlandoAM', 'id': '55832062'}, {'start': 91, 'end': 103, 'username': 'omedinacruz', 'id': '1267463407600635905'}, {'start': 104, 'end': 115, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 116, 'end': 124, 'username': 'jrestrp', 'id': '327553766'}, {'start': 125, 'end': 141, 'username': 'IglesiasJulio87', 'id': '4028486487'}, {'start': 142, 'end': 154, 'username': 'ToroDeArena', 'id': '1053137501177761792'}, {'start': 155, 'end': 167, 'username': 'inverxia_co', 'id': '208767225'}, {'start': 176, 'end': 189, 'username': 'RTVCnoticias', 'id': '1333793776599371778'}, {'start': 192, 'end': 205, 'username': 'FisicoImpuro', 'id': '252402164'}]}",193794269,1971015362021032109,2025-09-25 00:54:16+00:00,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 92}",@DiegomontanezH @BancoRepublica @DineroCOP @VictorGrosso @RodrigoTorresRT @MiguelOrlandoAM @omedinacruz @JDOviedoAr @jrestrp @IglesiasJulio87 @ToroDeArena @inverxia_co Pero si @RTVCnoticias y @FisicoImpuro me dijeron que suiza nos envidiaba por la riqueza y que somos más que un paraíso y coso qué está pasando,['1971015362021032109'],DaRkSpArTaN02,Libertad y orden🦁🟨⬛️🇨🇴🇦🇷
"{'mentions': [{'start': 0, 'end': 16, 'username': 'santiuribedel10', 'id': '1276549532763947009'}, {'start': 17, 'end': 33, 'username': 'ABDELAESPRIELLA', 'id': '1657059045956517897'}, {'start': 69, 'end': 82, 'username': 'VickyDavilaH', 'id': '242730842'}, {'start': 200, 'end': 214, 'username': 'MariaFdaCabal', 'id': '350862112'}, {'start': 215, 'end': 230, 'username': 'AdrianaVeterin', 'id': '1635456343757803520'}, {'start': 231, 'end': 246, 'username': 'sergio_fajardo', 'id': '25185308'}, {'start': 247, 'end': 259, 'username': 'PinzonBueno', 'id': '3401638840'}, {'start': 260, 'end': 269, 'username': 'ledoleon', 'id': '617401612'}, {'start': 270, 'end': 283, 'username': 'EugeniaTunja', 'id': '608702572'}, {'start': 284, 'end': 295, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 296, 'end': 306, 'username': 'lunadavid', 'id': '44740326'}], 'annotations': [{'start': 193, 'end': 197, 'probability': 0.9508, 'type': 'Person', 'normalized_text': 'Petro'}]}",82748111,1971012428034150763,2025-09-25 00:42:37+00:00,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 10}","@santiuribedel10 @ABDELAESPRIELLA Estoy anonadado, impactado, la sra @VickyDavilaH quien en principio me conquistó, hoy es mi mayor decepción. Menos mal la decepción es ahora. El adversario es Petro. @MariaFdaCabal @AdrianaVeterin @sergio_fajardo @PinzonBueno @ledoleon @EugeniaTunja @JDOviedoAr @lunadavid",['1971012428034150763'],nesandes,Néstor
"{'mentions': [{'start': 0, 'end': 13, 'username': 'VickyDavilaH', 'id': '242730842'}, {'start': 109, 'end': 125, 'username': 'ABDELAESPRIELLA', 'id': '1657059045956517897'}, {'start': 207, 'end': 216, 'username': 'ledoleon', 'id': '617401612'}, {'start': 217, 'end': 232, 'username': 'AdrianaVeterin', 'id': '1635456343757803520'}, {'start': 233, 'end': 248, 'username': 'Criticolombia2', 'id': '1678926783784054785'}, {'start': 249, 'end': 264, 'username': 'sergio_fajardo', 'id': '25185308'}, {'start': 265, 'end': 279, 'username': 'MariaFdaCabal', 'id': '350862112'}, {'start': 280, 'end': 291, 'username': 'JDOviedoAr', 'id': '219434063'}], 'annotations': [{'start': 18, 'end': 22, 'probability': 0.6664, 'type': 'Person', 'normalized_text': 'Vicky'}, {'start': 87, 'end': 94, 'probability': 0.9696, 'type': 'Place', 'normalized_text': 'Colombia'}, {'start': 99, 'end': 103, 'probability': 0.9696, 'type': 'Person', 'normalized_text': 'Petro'}, {'start': 155, 'end': 162, 'probability': 0.9755, 'type': 'Place', 'normalized_text': 'Colombia'}, {'start': 170, 'end': 172, 'probability': 0.3898, 'type': 'Organization', 'normalized_text': 'UCI'}, {'start': 191, 'end': 195, 'probability': 0.9683, 'type': 'Person', 'normalized_text': 'Petro'}]}",82748111,1971004314987676007,2025-09-25 00:10:22+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 1, 'bookmark_count': 0, 'impression_count': 63}","@VickyDavilaH Sra Vicky: usted hace lo mismo que tanto dice rechazar. El adversario de Colombia es Petro, no @ABDELAESPRIELLA. Informe, diga cómo sacará a Colombia de la UCI en que nos tiene Petro. Gracias. @ledoleon @AdrianaVeterin @Criticolombia2 @sergio_fajardo @MariaFdaCabal @JDOviedoAr",['1971004314987676007'],nesandes,Néstor
"{'mentions': [{'start': 0, 'end': 16, 'username': 'Mechitascasmont', 'id': '1084612507'}, {'start': 17, 'end': 32, 'username': 'Enrique_GomezM', 'id': '1368471536'}, {'start': 33, 'end': 46, 'username': 'petrogustavo', 'id': '49849732'}, {'start': 47, 'end': 61, 'username': 'Registraduria', 'id': '83917616'}, {'start': 62, 'end': 75, 'username': 'CNE_COLOMBIA', 'id': '264401370'}, {'start': 76, 'end': 89, 'username': 'intiasprilla', 'id': '3092609308'}, {'start': 90, 'end': 102, 'username': 'FiscaliaCol', 'id': '219990061'}, {'start': 103, 'end': 119, 'username': 'IndraenColombia', 'id': '390698642'}, {'start': 120, 'end': 127, 'username': 'ONU_es', 'id': '119844526'}, {'start': 128, 'end': 139, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 357, 'end': 370, 'username': 'CNE_COLOMBIA', 'id': '264401370'}, {'start': 371, 'end': 379, 'username': 'PGN_COL', 'id': '473338133'}, {'start': 380, 'end': 391, 'username': 'CAcusacion', 'id': '1283076243232104453'}, {'start': 392, 'end': 407, 'username': 'CamaraColombia', 'id': '338472735'}], 'urls': [{'start': 408, 'end': 431, 'url': 'https://t.co/oG9rS6ytPt', 'expanded_url': 'https://x.com/david_gugu6/status/1971004118119612535/photo/1', 'display_url': 'pic.x.com/oG9rS6ytPt', 'media_key': '16_1971004109701382144'}]}",3050537774,1971004118119612535,2025-09-25 00:09:35+00:00,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 16}","@Mechitascasmont @Enrique_GomezM @petrogustavo @Registraduria @CNE_COLOMBIA @intiasprilla @FiscaliaCol @IndraenColombia @ONU_es @JDOviedoAr No fueron capaces,ni siquiera en""1ra""y acelerador a fondo,de obtener 500 mil votos de 2018 a 1ra vuelta en 2022, y luego,en solo 21 días sacan ""de entre las piedras"" 2'749.894 votos más? 🤔 Tienen 🥚 a otro 🐕 con ese 🦴 @CNE_COLOMBIA @PGN_COL @CAcusacion @CamaraColombia https://t.co/oG9rS6ytPt",['1971004118119612535'],david_gugu6,david gutierrez
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 28, 'username': 'consejodeestado', 'id': '190713465'}, {'start': 29, 'end': 43, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}], 'urls': [{'start': 128, 'end': 151, 'url': 'https://t.co/Eiza0Z8GLM', 'expanded_url': 'https://x.com/dovelagrado33/status/1971003460209545528/photo/1', 'display_url': 'pic.x.com/Eiza0Z8GLM', 'media_key': '3_1971003452953137152'}]}",960989804,1971003460209545528,2025-09-25 00:06:59+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1}","@JDOviedoAr @consejodeestado @ConTodaPorCol Vaya convenza a su “amiguis” el peluquero .
Por aquí nadie le cree.
Loca promiscua. https://t.co/Eiza0Z8GLM",['1971003460209545528'],dovelagrado33,Guillotin Guillotina
"{'mentions': [{'start': 0, 'end': 15, 'username': 'DiegomontanezH', 'id': '1241844722240491528'}, {'start': 16, 'end': 31, 'username': 'BancoRepublica', 'id': '172368909'}, {'start': 32, 'end': 42, 'username': 'DineroCOP', 'id': '108045032'}, {'start': 43, 'end': 56, 'username': 'VictorGrosso', 'id': '72073632'}, {'start': 57, 'end': 73, 'username': 'RodrigoTorresRT', 'id': '115496046'}, {'start': 74, 'end': 90, 'username': 'MiguelOrlandoAM', 'id': '55832062'}, {'start': 91, 'end': 103, 'username': 'omedinacruz', 'id': '1267463407600635905'}, {'start': 104, 'end': 115, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 116, 'end': 124, 'username': 'jrestrp', 'id': '327553766'}, {'start': 125, 'end': 141, 'username': 'IglesiasJulio87', 'id': '4028486487'}, {'start': 142, 'end': 154, 'username': 'ToroDeArena', 'id': '1053137501177761792'}, {'start': 155, 'end': 167, 'username': 'inverxia_co', 'id': '208767225'}], 'annotations': [{'start': 306, 'end': 317, 'probability': 0.3486, 'type': 'Other', 'normalized_text': 'Kirchnerismo'}]}",392764631,1971002744954814937,2025-09-25 00:04:08+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 76}","@DiegomontanezH @BancoRepublica @DineroCOP @VictorGrosso @RodrigoTorresRT @MiguelOrlandoAM @omedinacruz @JDOviedoAr @jrestrp @IglesiasJulio87 @ToroDeArena @inverxia_co Son datos y hay que darlos, sin olvidar el aumento del déficit fiscal y un estado que crece más, nos van a llevar a la crisis que dejó el Kirchnerismo a los argentinos.",['1971002744954814937'],HenryRey91,Henry Rey 🇨🇴🇬🇧.
"{'mentions': [{'start': 0, 'end': 14, 'username': 'Raultheralphy', 'id': '1404891655782735873'}, {'start': 15, 'end': 26, 'username': 'JDOviedoAr', 'id': '219434063'}], 'annotations': [{'start': 60, 'end': 67, 'probability': 0.9904, 'type': 'Place', 'normalized_text': 'Colombia'}, {'start': 85, 'end': 97, 'probability': 0.9832, 'type': 'Place', 'normalized_text': 'Latinoamérica'}]}",1904733138615754753,1971002316812845089,2025-09-25 00:02:26+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 2}","@Raultheralphy @JDOviedoAr 😂 Si la conociera, no viviría en Colombia... Es que ni en Latinoamérica",['1971002316812845089'],alejo011220,alejandro campos
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}]}",1904733138615754753,1971001466367463835,2025-09-24 23:59:03+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 4}","@JDOviedoAr Jajajaja a parce... Primero usted es una rata hijueputa más, los 3 o 4 votos que va a tener no serán más que la de su madre su padre y su esposa así que deje de hacer el ridículo 😂🤪",['1971001466367463835'],alejo011220,alejandro campos
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}], 'urls': [{'start': 69, 'end': 92, 'url': 'https://t.co/2tHwqCJfZV', 'expanded_url': 'https://x.com/bilivayic/status/1971000545105281252/photo/1', 'display_url': 'pic.x.com/2tHwqCJfZV', 'media_key': '3_1971000542387224576'}], 'annotations': [{'start': 43, 'end': 50, 'probability': 0.6486, 'type': 'Person', 'normalized_text': 'Abelardo'}]}",332499895,1971000545105281252,2025-09-24 23:55:24+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 4}",@JDOviedoAr Sea sensato y vea que al tigre Abelardo no lo para nadie https://t.co/2tHwqCJfZV,['1971000545105281252'],bilivayic,nicolas correa
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}]}",74034512,1971000257933889865,2025-09-24 23:54:15+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 16}",@JDOviedoAr Qué cosa tan torturante escuchar hablar a este estúpido,['1971000257933889865'],trinashit,danilo
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}]}",1526379394314428416,1971000238401015982,2025-09-24 23:54:10+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 16}",@JDOviedoAr 👏👏👏,['1971000238401015982'],Zero22_x,ZeRo_🌎
